"","Nt","min.N","g","g.1","max.g","evolve","survive","sigma"
"178",199,15,0,0.0369008618772687,0.123795071353012,1.08617761844679,1,0.08
"179",199,9,0,0.0260427634781653,0.116917488904871,1.13593406783382,1,0.08
"180",199,6,0,0.0310631327331313,0.061440745710362,0.379720162215383,1,0.08
"181",199,23,0,0.0340598973450368,0.124807812684413,1.06762253340443,1,0.085
"182",198,14,0,0.0326501483003944,0.101385809730677,0.808654840356263,1,0.085
"183",199,8,0,0.0321087806340532,0.162756502921241,1.53703202690809,1,0.085
"184",199,10,0,0.03088359996783,0.115961570047526,1.00091729505525,1,0.085
"185",199,8,0,0.0356453616361099,0.153154541370252,1.38246093804873,1,0.085
"186",197,17,0,0.0321405440689436,0.121275965364191,1.04865201523821,1,0.085
"187",198,9,0,0.0340938279278796,0.112490379448347,0.922312370829028,1,0.085
"188",199,15,0,0.0309000610702521,0.132624072630078,1.19675307717443,1,0.085
"189",198,9,0,0.0285723019264328,0.115918269067933,1.02759961342942,1,0.085
"190",199,19,0,0.0345223434841761,0.126140210189559,1.07785725535744,1,0.085
"191",199,11,0,0.0357177445099839,0.173774356618399,1.53396235676017,1,0.09
"192",199,14,0,0.0336860179271283,0.130793361799745,1.07897048747352,1,0.09
"193",198,16,0,0.0436375685718248,0.158368543124861,1.27478860614485,1,0.09
"194",199,13,0,0.0341787039600078,0.100606229350341,0.738083615448146,1,0.09
"195",199,11,0,0.0389580365171481,0.0967142214303198,0.64173538792413,1,0.09
"196",199,13,0,0.0365913250795899,0.116564292497098,0.888588526861199,1,0.09
"197",200,9,0,0.0386597641499899,0.102389728329405,0.708110713104618,1,0.09
"198",199,5,0,0.0388554147947013,0.146765793803798,1.19900421121218,1,0.09
"199",200,17,0,0.0352665312221501,0.149476603992895,1.26900080856383,1,0.09
"200",199,13,0,0.035515215858266,0.15186770522718,1.29280543743237,1,0.09
"201",199,10,0,0.0367037876274102,0.101540598990624,0.682492751191727,1,0.095
"202",199,6,0,0.0276246341137507,0.226976186872065,2.09843739745594,1,0.095
"203",199,12,0,0.0385121194784208,0.118657163942223,0.843632046987391,1,0.095
"204",199,20,0,0.0359219140501953,0.121675173426141,0.902665888167846,1,0.095
"205",198,20,0,0.038077530013109,0.157102906078342,1.25289869542351,1,0.095
"206",198,11,0,0.0353399938624846,0.179490461869249,1.51737334743963,1,0.095
"207",199,16,0,0.0419253296379888,0.170299770804907,1.35130990702019,1,0.095
"208",199,10,0,0.0373891742333466,0.204726868073083,1.76144940883933,1,0.095
"209",198,10,0,0.041688756401473,0.154060777694708,1.18286338203405,1,0.095
"210",198,16,0,0.0408159066578818,0.163897972306591,1.29560069103905,1,0.095
"211",199,11,0,0.0322514357305965,0.154706816383219,1.22455380652622,1,0.1
"212",199,16,0,0.0422438948331129,0.14717792251746,1.04934027684347,1,0.1
"213",199,14,0,0.0440790329941006,0.142759609139426,0.986805761453256,1,0.1
"214",199,11,0,0.043424289989765,0.149428940782481,1.06004650792716,1,0.1
"215",199,15,0,0.0375872792327793,0.134910498443894,0.973232192111152,1,0.1
"216",199,15,0,0.0362589781177565,0.137037765051576,1.0077878693382,1,0.1
"217",199,20,0,0.0336876920973842,0.223852334395613,1.90164642298228,1,0.1
"218",199,15,0,0.046429748337911,0.0997233725954535,0.532936242575425,1,0.1
