"","WT","S","E","I","R","M","N","g.avg"
"144",649.722121911604,16,0,0,10,5,26,0.207889481841621
"145",674.800241253562,17,0,0,9,5,26,0.207889481841621
"146",682.268560923916,16,1,0,9,5,26,0.207889481841621
"147",684.33893998975,16,0,0,10,5,26,0.207889481841621
"148",686.615419557796,16,0,0,10,4,26,0.207889481841621
"149",688.079611944354,16,0,0,9,4,25,0.205586130037165
"150",690.407989473706,15,1,0,9,4,25,0.205586130037165
"151",690.58583723676,15,0,0,10,4,25,0.205586130037165
"152",695.237179959315,16,0,0,9,4,25,0.205586130037165
"153",696.432846622862,16,0,0,9,3,25,0.205586130037165
"154",700.375904310939,15,1,0,9,3,25,0.205586130037165
"155",700.854062630274,15,1,0,9,2,25,0.205586130037165
"156",704.194002611075,15,0,1,9,2,25,0.205586130037165
"157",705.114753207587,15,0,0,9,3,24,0.208642013645189
"158",705.671367737,14,1,0,9,3,24,0.208642013645189
"159",708.951002761944,14,0,1,9,3,24,0.208642013645189
"160",709.207666256655,14,0,0,9,4,23,0.208959503762333
"161",711.872528208487,13,1,0,9,4,23,0.208959503762333
"162",714.350360512821,13,0,1,9,4,23,0.208959503762333
"163",715.172902136221,13,0,0,9,5,22,0.207702608453545
"164",715.569530034106,14,0,0,9,5,23,0.208081158517097
"165",720.984017478883,15,0,0,9,5,24,0.2066960414933
"166",721.239453131414,14,1,0,9,5,24,0.2066960414933
"167",727.156645688627,15,1,0,9,5,25,0.210665812487314
"168",727.456036660405,14,2,0,9,5,25,0.210665812487314
"169",728.658236883479,14,1,1,9,5,25,0.210665812487314
"170",731.967732315578,14,0,1,10,5,25,0.210665812487314
"171",735.620328985336,14,0,0,10,6,24,0.212158623426536
"172",735.840090290825,15,0,0,10,6,25,0.213136726511702
"173",735.897370910417,14,1,0,10,6,25,0.213136726511702
"174",737.453433877637,14,0,1,10,6,25,0.213136726511702
"175",738.058328158858,14,0,1,10,5,25,0.213136726511702
"176",739.135918082591,13,1,1,10,5,25,0.213136726511702
"177",740.002246775318,13,1,0,10,6,24,0.213272511308004
"178",742.574438954963,13,0,1,10,6,24,0.213272511308004
"179",744.925300300948,13,0,0,10,7,23,0.209243476306455
"180",750.870797117031,13,0,0,10,6,23,0.209243476306455
"181",754.269930625272,13,0,0,10,5,23,0.209243476306455
"182",763.033515365514,14,0,0,9,5,23,0.209243476306455
"183",766.503828788499,15,0,0,8,5,23,0.209243476306455
"184",768.706996631862,14,1,0,8,5,23,0.209243476306455
"185",769.13743851352,13,2,0,8,5,23,0.209243476306455
"186",769.241576797634,13,1,0,9,5,23,0.209243476306455
"187",769.99155517536,13,0,0,10,5,23,0.209243476306455
"188",770.211144683784,12,1,0,10,5,23,0.209243476306455
"189",771.387116104415,13,1,0,10,5,24,0.209753575442721
"190",773.786538078393,13,1,0,10,4,24,0.209753575442721
"191",774.895456630967,13,1,0,10,3,24,0.209753575442721
"192",780.314865670803,13,0,0,11,3,24,0.209753575442721
"193",788.697018115047,12,1,0,11,3,24,0.209753575442721
"194",788.928548925345,12,0,1,11,3,24,0.209753575442721
"195",789.870102277711,12,0,1,11,2,24,0.209753575442721
"196",790.349006453105,12,0,0,11,3,23,0.205571543229638
"197",792.338883756873,11,1,0,11,3,23,0.205571543229638
"198",792.961293295184,11,0,0,12,3,23,0.205571543229638
"199",795.195923961793,11,0,0,12,2,23,0.205571543229638
"200",799.959305529688,10,0,0,12,2,22,0.208904571401685
"201",804.319748483822,11,0,0,12,2,23,0.205571543229638
"202",811.601499540478,12,0,0,12,2,24,0.202516267405261
"203",813.668807082231,13,0,0,12,2,25,0.203275050932125
"204",829.370068502796,14,0,0,11,2,25,0.203275050932125
"205",829.870614665079,14,0,0,11,1,25,0.203275050932125
"206",848.43844802968,13,1,0,11,1,25,0.203275050932125
"207",853.158467046098,13,0,1,11,1,25,0.203275050932125
"208",855.606776276513,12,1,1,11,1,25,0.203275050932125
"209",857.46129308291,12,0,2,11,1,25,0.203275050932125
"210",857.481179605402,12,0,1,11,2,24,0.206234639577438
"211",859.046997101356,12,0,0,11,3,23,0.211914276660268
"212",860.042597422444,13,0,0,10,3,23,0.211914276660268
"213",874.653846964944,14,0,0,10,3,24,0.212313092448459
"214",881.923611378366,15,0,0,10,3,25,0.211521268849774
"215",887.307034968728,16,0,0,10,3,26,0.211709268506138
"216",893.415127019288,15,1,0,10,3,26,0.211709268506138
"217",900.196513727037,15,0,1,10,3,26,0.211709268506138
"218",900.416039458803,14,1,1,10,3,26,0.211709268506138
"219",902.404632541973,14,1,0,10,4,25,0.21131820502331
"220",904.076291431286,13,2,0,10,4,25,0.21131820502331
"221",905.811390213019,13,1,1,10,4,25,0.21131820502331
"222",906.840477705404,14,1,1,9,4,25,0.21131820502331
"223",907.509306005929,13,2,1,9,4,25,0.21131820502331
"224",907.896326594535,13,1,2,9,4,25,0.21131820502331
"225",907.999771831752,13,1,1,9,5,24,0.207463469586239
"226",911.328536279669,13,1,0,9,6,23,0.209316834438126
"227",913.209362361425,14,1,0,9,6,24,0.209823876985573
"228",914.154055482169,13,2,0,9,6,24,0.209823876985573
"229",916.832694241929,13,1,0,10,6,24,0.209823876985573
"230",919.201461225294,13,0,1,10,6,24,0.209823876985573
"231",921.433887532458,13,0,0,10,7,23,0.209537555988631
"232",927.093815660241,13,0,0,10,6,23,0.209537555988631
"233",940.003635644457,12,1,0,10,6,23,0.209537555988631
"234",942.346431859959,12,0,0,11,6,23,0.209537555988631
"235",942.675723175789,11,1,0,11,6,23,0.209537555988631
"236",946.86078199684,11,0,1,11,6,23,0.209537555988631
"237",947.098162737308,11,0,1,11,5,23,0.209537555988631
"238",949.8575937447,10,1,1,11,5,23,0.209537555988631
"239",950.359204875574,9,2,1,11,5,23,0.209537555988631
"240",951.861826324698,9,1,1,12,5,23,0.209537555988631
"241",952.250115927106,10,1,1,11,5,23,0.209537555988631
"242",952.89414210882,10,1,0,11,6,22,0.213050857467905
"243",955.220552674982,9,2,0,11,6,22,0.213050857467905
"244",955.986337603177,9,1,1,11,6,22,0.213050857467905
"245",956.917840360464,8,2,1,11,6,22,0.213050857467905
"246",956.964912076935,8,1,1,12,6,22,0.213050857467905
"247",957.470541484539,7,2,1,12,6,22,0.213050857467905
"248",957.523412375149,7,2,0,12,7,21,0.212890933541841
"249",957.5688154757,7,1,1,12,7,21,0.212890933541841
"250",958.145964928968,7,1,0,12,8,20,0.216923234046703
"251",959.299322562832,7,0,1,12,8,20,0.216923234046703
"252",962.111401094606,7,0,0,12,9,19,0.218207746234354
"253",968.240210012585,8,0,0,12,9,20,0.215539162822279
"254",970.671600543802,9,0,0,12,9,21,0.219290367601689
"255",974.957455092699,10,0,0,11,9,21,0.219290367601689
"256",978.280294379841,10,0,0,10,9,20,0.219180593202931
"257",978.505015580582,11,0,0,9,9,20,0.219180593202931
"258",983.212854968467,10,1,0,9,9,20,0.219180593202931
